model_name,accuracy,macro_f1,train_seconds,predict_seconds,device,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5
tabicl_v2,0.3016666666666667,0.2885761746312643,0.5987141132354736,117.00865292549132,cpu,0.3516483516483517,0.2535211267605634,0.3511450381679389,0.1520467836257309,0.3345195729537366
catboost,0.26666666666666666,0.2543977900552486,1.5623,0.0006,cpu,0.35507246376811596,0.21390374331550802,0.28378378378378377,0.12903225806451613,0.2901960784313726
tabpfn_v2,0.2866666666666667,0.2422501127338973,0.4272127151489258,404.10618782043457,cpu,0.3443223443223443,0.1294117647058823,0.3952095808383233,0.0314960629921259,0.3108108108108108
baseline_ffnn,0.2966666666666667,0.2369167756348121,0.1834490299224853,0.0002501010894775,cpu,0.4323040380047506,0.3258785942492013,0.192090395480226,0.2181818181818181,0.0161290322580645
