Model,FoldIndex,Retrained,TargetShift,PeriodStart,PeriodEnd,TrainWindowStart,TrainWindowEnd,TrainIntervals,TestIntervals,ValidationIntervals,Longs,Shorts,GrossExposure,PeriodReturn
meta,20,False,0,2025-05-24,2025-06-20,2022-05-28,2025-05-23,107,23,23,"SHY,TLT,IEF",,1.0,0.008125473380604431
base,21,True,0,2025-06-21,2025-07-18,2022-06-25,2025-06-20,107,23,23,"AIZ,IEUS,ROL",,0.38231663405895233,-0.005743643264895071
meta,21,True,0,2025-06-21,2025-07-18,2022-06-25,2025-06-20,107,23,23,"AIZ,IEUS,EWU",,0.8795717187846697,-0.0020236757134299843
base,22,False,0,2025-07-19,2025-08-15,2022-07-23,2025-07-18,107,23,23,"PPL,GPC,V",,0.44671663393576977,0.01559340436376977
meta,22,False,0,2025-07-19,2025-08-15,2022-07-23,2025-07-18,107,23,23,"AMP,PPL,V",,0.8834163347880042,-0.018165005265804446
base,23,False,0,2025-08-16,2025-09-12,2022-08-20,2025-08-15,107,23,23,"CNC,DXC,BMY",,0.25,0.009544820634367346
meta,23,False,0,2025-08-16,2025-09-12,2022-08-20,2025-08-15,107,23,23,"CNC,XLF,XOM",,0.3413248931368196,0.02551347927068326
base,24,True,0,2025-09-13,2025-10-10,2022-09-17,2025-09-12,107,23,23,"IEFM.L,PG,AMAT",,0.2763494507720077,0.016289946594432836
meta,24,True,0,2025-09-13,2025-10-10,2022-09-17,2025-09-12,107,23,23,"JPM,PG,MVEU.L",,0.9003674184593058,-0.018500425809672927
base,25,False,0,2025-10-11,2025-11-07,2022-10-15,2025-10-10,107,23,23,"URI,AEP,CARR",,0.3219095369180047,-0.00797580779263729
meta,25,False,0,2025-10-11,2025-11-07,2022-10-15,2025-10-10,107,23,23,"URI,AEP,INDA",,1.0,-0.026489703840457457
base,26,False,0,2025-11-08,2025-12-05,2022-11-12,2025-11-07,107,23,23,"FTV,PRU,AIZ",,0.43925683945417404,0.013988082131585866
meta,26,False,0,2025-11-08,2025-12-05,2022-11-12,2025-11-07,107,23,23,"FTV,TLT,XOM",,0.8490598908004665,0.00894730975396052
base,27,True,0,2025-12-06,2026-01-02,2022-12-10,2025-12-05,107,23,23,"META,OGN,PYPL",,0.25,-0.006342535641444491
meta,27,True,0,2025-12-06,2026-01-02,2022-12-10,2025-12-05,107,23,23,"EWH,IVV,VXX",,0.44592680409550667,-0.019753373705918786
base,28,False,0,2026-01-03,2026-01-30,2023-01-07,2026-01-02,107,23,23,"PPL,EG,CNP",,0.5083421493570006,0.009431892831587518
meta,28,False,0,2026-01-03,2026-01-30,2023-01-07,2026-01-02,107,23,23,"AIZ,EG,CTAS",,0.8867828051249182,-0.0017422618143939639
base,29,False,0,2026-01-31,2026-02-27,2023-02-04,2026-01-30,107,23,23,"META,AMP,CNP",,0.6291524320840836,-0.019391338377186096
meta,29,False,0,2026-01-31,2026-02-27,2023-02-04,2026-01-30,107,23,23,"AMP,META,GOOG",,1.0,-0.09621524203193177
base,30,True,0,2026-02-28,2026-03-27,2023-03-04,2026-02-27,107,23,23,"UNH,URI,BF-B",,0.25,-0.029156213043772694
meta,30,True,0,2026-02-28,2026-03-27,2023-03-04,2026-02-27,107,23,23,"ALLE,XLF,CTAS",,0.5345541036998236,-0.04440823129313909
